,country_name,density,median_age,population,urban_perc
124,Central African Republic,8.0,18.0,4829767.0,43.0
125,New Zealand,18.0,38.0,4822233.0,87.0
126,Mauritania,5.0,20.0,4649658.0,57.0
127,Panama,58.0,30.0,4314767.0,68.0
128,Kuwait,240.0,37.0,4270571.0,0.0
129,Croatia,73.0,44.0,4105267.0,58.0
130,Moldova,123.0,38.0,4033963.0,43.0
131,Georgia,57.0,38.0,3989167.0,58.0
132,Eritrea,35.0,19.0,3546421.0,63.0
133,Uruguay,20.0,36.0,3473730.0,96.0
134,Bosnia and Herzegovina,64.0,43.0,3280819.0,52.0
135,Mongolia,2.0,28.0,3278290.0,67.0
136,Armenia,104.0,35.0,2963243.0,63.0
137,Jamaica,273.0,31.0,2961167.0,55.0
138,Qatar,248.0,32.0,2881053.0,96.0
139,Albania,105.0,36.0,2877797.0,63.0
140,Puerto Rico,323.0,44.0,2860853.0,0.0
141,Lithuania,43.0,45.0,2722289.0,71.0
142,Namibia,3.0,22.0,2540905.0,55.0
143,Gambia,239.0,18.0,2416668.0,59.0
144,Botswana,4.0,24.0,2351627.0,73.0
145,Gabon,9.0,23.0,2225734.0,87.0
146,Lesotho,71.0,24.0,2142249.0,31.0
147,North Macedonia,83.0,39.0,2083374.0,59.0
148,Slovenia,103.0,45.0,2078938.0,55.0
149,Guinea-Bissau,70.0,19.0,1968001.0,45.0
150,Latvia,30.0,44.0,1886198.0,69.0
151,Bahrain,2239.0,32.0,1701575.0,89.0
152,Equatorial Guinea,50.0,22.0,1402985.0,73.0
153,Trinidad and Tobago,273.0,36.0,1399488.0,52.0
154,Estonia,31.0,42.0,1326535.0,68.0
155,Timor-Leste,89.0,21.0,1318445.0,33.0
156,Mauritius,626.0,37.0,1271768.0,41.0
157,Cyprus,131.0,37.0,1207359.0,67.0
158,Eswatini,67.0,21.0,1160164.0,30.0
159,Djibouti,43.0,27.0,988000.0,79.0
160,Fiji,49.0,28.0,896445.0,59.0
161,Réunion,358.0,36.0,895312.0,10.0
162,Comoros,467.0,20.0,869601.0,29.0
163,Guyana,4.0,27.0,786552.0,27.0
164,Bhutan,20.0,28.0,771608.0,46.0
165,Solomon Islands,25.0,20.0,686884.0,23.0
166,Macao,21645.0,39.0,649335.0,0.0
167,Montenegro,47.0,39.0,628066.0,68.0
168,Luxembourg,242.0,40.0,625978.0,88.0
169,Western Sahara,2.0,28.0,597339.0,87.0
170,Suriname,4.0,29.0,586632.0,65.0
171,Cabo Verde,138.0,28.0,555987.0,68.0
172,Micronesia,784.0,27.0,548914.0,68.0
173,Maldives,1802.0,30.0,540544.0,35.0
174,Malta,1380.0,43.0,441543.0,93.0
175,Brunei ,83.0,32.0,437479.0,80.0
176,Guadeloupe,237.0,44.0,400124.0,0.0
177,Belize,17.0,25.0,397628.0,46.0
178,Bahamas,39.0,32.0,393244.0,86.0
179,Martinique,354.0,47.0,375265.0,92.0
180,Iceland,3.0,37.0,341243.0,94.0
181,Vanuatu,25.0,21.0,307145.0,24.0
182,French Guiana,4.0,25.0,298682.0,87.0
183,Barbados,668.0,40.0,287375.0,31.0
184,New Caledonia,16.0,34.0,285498.0,72.0
185,French Polynesia,77.0,34.0,280908.0,64.0
186,Mayotte,728.0,20.0,272815.0,46.0
187,Sao Tome & Principe,228.0,19.0,219159.0,74.0
188,Samoa,70.0,22.0,198414.0,18.0
189,Saint Lucia,301.0,34.0,183627.0,19.0
190,Channel Islands,915.0,43.0,173863.0,30.0
191,Guam,313.0,31.0,168775.0,95.0
192,Curaçao,370.0,42.0,164093.0,89.0
193,Kiribati,147.0,23.0,119449.0,57.0
194,Grenada,331.0,32.0,112523.0,35.0
195,St. Vincent & Grenadines,284.0,33.0,110940.0,53.0
196,Aruba,593.0,41.0,106766.0,44.0
197,Tonga,147.0,22.0,105695.0,24.0
198,U.S. Virgin Islands,298.0,43.0,104425.0,96.0
199,Seychelles,214.0,34.0,98347.0,56.0
200,Antigua and Barbuda,223.0,34.0,97929.0,26.0
201,Isle of Man,149.0,0.0,85033.0,53.0
202,Andorra,164.0,0.0,77265.0,88.0
203,Dominica,96.0,0.0,71986.0,74.0
204,Cayman Islands,274.0,0.0,65722.0,97.0
205,Bermuda,1246.0,0.0,62278.0,97.0
206,Marshall Islands,329.0,0.0,59190.0,70.0
207,Northern Mariana Islands,125.0,0.0,57559.0,88.0
208,Greenland,0.0,0.0,56770.0,87.0
209,American Samoa,276.0,0.0,55191.0,88.0
210,Saint Kitts & Nevis,205.0,0.0,53199.0,33.0
211,Faeroe Islands,35.0,0.0,48863.0,43.0
212,Sint Maarten,1261.0,0.0,42876.0,96.0
213,Monaco,26337.0,0.0,39242.0,0.0
214,Turks and Caicos,41.0,0.0,38717.0,89.0
215,Saint Martin,730.0,0.0,38666.0,0.0
216,Liechtenstein,238.0,0.0,38128.0,15.0
217,San Marino,566.0,0.0,33931.0,97.0
218,Gibraltar,3369.0,0.0,33691.0,0.0
219,British Virgin Islands,202.0,0.0,30231.0,52.0
220,Caribbean Netherlands,80.0,0.0,26223.0,75.0
221,Palau,39.0,0.0,18094.0,0.0
222,Cook Islands,73.0,0.0,17564.0,75.0
223,Anguilla,167.0,0.0,15003.0,0.0
224,Tuvalu,393.0,0.0,11792.0,62.0
225,Wallis & Futuna,80.0,0.0,11239.0,0.0
226,Nauru,541.0,0.0,10824.0,0.0
227,Saint Barthelemy,470.0,0.0,9877.0,0.0
228,Saint Helena,16.0,0.0,6077.0,27.0
229,Saint Pierre & Miquelon,25.0,0.0,5794.0,10.0
230,Montserrat,50.0,0.0,4992.0,10.0
231,Falkland Islands,0.0,0.0,3480.0,66.0
232,Niue,6.0,0.0,1626.0,46.0
233,Tokelau,136.0,0.0,1357.0,0.0
234,Holy See,2003.0,0.0,801.0,0.0
